#{"t_start": 1715268483.15201, "env_id": "None"}
r,l,t
-615835.034193,1001,1.102259
-629909.512527,1001,1.734602
-627441.1123,1001,4.660017
-631071.34661,1001,5.202344
-667731.161719,1001,6.618214
-664124.720291,1001,8.368613
-634721.531312,1001,9.540313
-631558.825266,1001,10.089461
-622182.022677,1001,11.620213
-595078.123526,1001,13.205964
-625460.427251,1001,14.38208
-650532.897002,1001,14.95276
-628736.511001,1001,17.919698
-638136.128324,1001,18.454499
-661597.089327,1001,19.674671
-622309.148042,1001,20.465799
-627946.677994,1001,23.318957
-607376.754239,1001,23.863869
-634894.957356,1001,26.505924
-631632.797707,1001,27.456927
-624819.432368,1001,28.690736
-623123.574106,1001,29.809814
-646134.726579,1001,32.637778
-638755.081131,1001,33.185489
-644060.214487,1001,36.238925
-647911.423949,1001,36.79124
-623809.839802,1001,38.034256
-631096.839325,1001,38.893793
-659942.581546,1001,41.743956
-664384.47897,1001,42.288188
-620978.277231,1001,45.171319
-635491.520316,1001,45.765448
-612210.355468,1001,46.928488
-637782.918503,1001,47.489612
-627789.839128,1001,50.201415
-632903.358649,1001,50.705935
-638099.226544,1001,51.917304
-623708.989946,1001,52.605424
-614279.881727,1001,55.018021
-626770.442052,1001,55.520483
-625291.489276,1001,56.74377
-621194.268871,1001,57.496429
-642998.616667,1001,59.497159
-621438.876416,1001,60.030769
-620816.722689,1001,60.578122
-647122.151299,1001,61.845341
-634681.796909,1001,63.403663
-618467.110808,1001,64.679549
-646520.388041,1001,65.240677
-628758.679493,1001,67.468475
-652682.517715,1001,68.315887
-621729.038576,1001,69.458934
-631752.941705,1001,70.014965
-621935.615608,1001,71.854981
-633747.856843,1001,72.748472
-640960.003242,1001,73.907672
-627768.83964,1001,74.471389
-624734.235316,1001,76.279151
-625278.75219,1001,77.29978
-623480.272407,1001,78.461202
-627732.045672,1001,79.010854
-640393.467004,1001,80.614006
-640518.912701,1001,81.939296
-641373.479483,1001,83.092968
-634560.713627,1001,83.611815
-637320.842841,1001,86.27703
-615203.723143,1001,87.009935
-628807.987304,1001,88.151177
-633217.885333,1001,88.826175
-609728.134512,1001,91.698364
-629677.993898,1001,92.232457
