#{"t_start": 1715282106.299728, "env_id": "None"}
r,l,t
-827.739051,4,0.930389
-1000.0,1,0.930931
-990.473132,2,0.931961
-922.802178,3,0.933476
-823.575329,5,0.935982
-970.994917,2,0.93702
-728.496036,4,0.939049
-873.47582,3,0.940587
-1000.0,1,0.941124
-1000.0,1,0.941674
-939.947656,5,0.94419
-996.598927,2,0.945222
-598.122885,9,0.949698
-1000.0,1,0.950237
-952.579532,4,0.952246
-758.400215,8,0.956211
-896.867048,3,0.95775
-99.136672,13,0.964265
-934.494385,5,0.966781
-671.488212,5,0.969268
-843.527881,4,0.971284
-977.330565,2,0.972307
-972.455205,3,0.97383
-951.036155,4,0.975825
-1000.0,1,0.976361
-1000.0,1,0.976896
-779.284002,5,0.979397
-702.5987,5,0.981888
-915.179255,4,0.98388
-940.624422,2,0.984924
-978.009329,3,0.986439
-584.902378,7,0.989905
-730.439232,5,0.992387
-1000.0,1,0.992917
-676.417007,5,0.995422
-953.944215,2,0.996442
-1000.0,1,0.99698
-800.0,3,0.998497
-951.836658,3,1.000021
-729.817395,7,1.00348
-898.893893,3,1.005002
-1000.0,1,1.005543
-962.953402,4,1.007545
-958.781614,3,1.009046
-973.105037,2,1.010074
-740.573225,5,1.012567
-956.086059,3,1.014089
-868.5803,3,1.015609
-700.0,4,1.017632
-923.940735,2,1.018647
-922.675774,4,1.020643
-943.819232,2,1.021683
-946.690564,2,1.022719
-896.39179,3,1.042014
-995.770551,2,1.043195
-990.349074,3,1.044794
-900.0,2,1.045848
-571.927756,8,1.049833
-700.0,4,1.051853
-884.255576,3,1.058594
-900.0,2,1.060275
-908.018013,2,1.061386
-687.468858,6,1.064437
-769.728569,6,1.067405
-1000.0,1,1.06795
-1000.0,1,1.068492
-714.122226,5,1.070973
-895.394232,3,1.072472
-766.630265,5,1.074949
-901.188253,5,1.077432
-626.330522,6,1.080385
-900.0,2,1.081403
-1000.0,1,1.081939
-391.235,10,1.086799
-1000.0,1,1.087331
-896.335031,3,1.088831
-1000.0,1,1.089359
-756.696789,5,1.091822
-900.0,2,1.092838
-814.709432,3,1.094343
-866.668521,6,1.09728
-739.675283,6,1.100237
-949.378768,2,1.101255
-668.356194,8,1.105163
-975.211962,4,1.107144
-686.116111,5,1.10962
-971.8765,2,1.110642
-977.578214,2,1.111658
-980.889551,3,1.113153
-760.369174,4,1.115147
-666.320875,6,1.11809
-1000.0,1,1.118623
-800.0,3,1.120119
-766.658769,6,1.123074
-838.920279,6,1.126053
-905.204703,4,1.128031
-817.262246,4,1.130028
-855.912366,4,1.132012
-900.0,2,1.133027
-705.670743,6,1.135967
-851.576872,6,1.138922
-1000.0,1,1.139454
-885.015678,3,1.140966
-508.91082,9,1.14537
-997.63294,3,1.146877
-1000.0,1,1.147414
-800.0,3,1.148899
-1000.0,1,1.149422
-800.0,3,1.150915
-809.015567,4,1.152876
-1000.0,1,1.153406
-900.0,2,1.154427
-1000.0,1,1.154956
-468.75549,9,1.159328
-900.0,2,1.160347
-1000.0,1,1.160879
-998.810779,2,1.161914
-871.727326,4,1.1639
-921.74447,2,1.164922
-1000.0,1,1.165446
-833.575561,6,1.168392
-1000.0,1,1.168919
-950.865886,2,1.169935
-800.0,3,1.171415
-582.13167,9,1.175817
-836.515203,5,1.178276
-1000.0,1,1.178805
-992.480073,3,1.180294
-996.515803,2,1.181294
-825.292154,4,1.18328
-897.855401,4,1.185257
-920.754959,5,1.187726
-839.846526,4,1.189704
-800.0,3,1.191197
-589.325439,6,1.194153
-952.384984,2,1.195168
-999.009319,2,1.196183
-974.188861,2,1.197194
-887.913565,3,1.198685
-838.787422,3,1.200171
-874.388465,3,1.201674
-953.635928,2,1.202679
-1000.0,1,1.203201
-1000.0,1,1.203732
-1000.0,1,1.204264
-900.0,2,1.205282
-1000.0,1,1.205826
-1000.0,1,1.206353
-691.005743,10,1.211213
-900.0,2,1.212229
-1000.0,1,1.212757
-1000.0,1,1.213285
-800.0,3,1.214782
-900.0,2,1.215796
-874.689522,4,1.217772
-600.0,5,1.220226
-1000.0,1,1.220759
-962.742768,2,1.221785
-800.0,3,1.223278
-856.708962,5,1.225754
-948.419043,4,1.227742
-1000.0,1,1.228277
-961.364725,4,1.230255
-842.213667,6,1.233212
-1000.0,1,1.233755
-800.0,3,1.235257
-499.783309,10,1.240118
-997.666725,3,1.241609
-818.302342,3,1.24311
-991.88457,3,1.244623
-881.68332,3,1.246124
-818.558798,7,1.249543
-590.401008,6,1.25248
-949.983217,3,1.253982
-1000.0,1,1.254517
-951.576254,2,1.255532
-800.0,3,1.25702
-972.716062,2,1.258034
-1000.0,1,1.258563
-1000.0,1,1.25909
-870.881706,5,1.26156
-907.46086,2,1.262612
-1000.0,1,1.263137
-996.348909,2,1.264137
-802.637497,6,1.267063
-897.963355,4,1.269044
-828.651725,7,1.272446
-957.743415,2,1.27346
-874.554701,3,1.274938
-736.807153,5,1.277379
-967.936714,2,1.278404
-893.788467,3,1.279894
-926.424657,3,1.281378
-1000.0,1,1.28191
-1000.0,1,1.28244
-1000.0,1,1.282963
-1000.0,1,1.28349
-929.985036,3,1.284985
-698.061832,6,1.287919
-1000.0,1,1.288446
-900.0,2,1.289459
-1000.0,1,1.289992
-806.066275,6,1.292903
-900.0,2,1.293905
-761.224568,6,1.296835
-956.305018,2,1.297853
-572.162325,12,1.303621
-979.663613,3,1.305096
-700.0,4,1.307065
-788.549702,7,1.310464
-847.614937,5,1.31292
-739.605062,5,1.315375
-900.0,2,1.316387
-938.910012,3,1.317882
-1000.0,1,1.318412
-875.60862,4,1.32037
-600.0,5,1.32281
-973.828781,2,1.323819
-900.0,2,1.324831
-900.0,2,1.325845
-1000.0,1,1.326372
-795.811574,4,1.328322
-800.802323,7,1.331693
-1000.0,1,1.332217
-942.211757,2,1.333224
-893.347785,5,1.335662
-789.45939,4,1.337621
-766.777163,8,1.341469
-820.131908,5,1.34392
-1000.0,1,1.344453
-999.054804,2,1.345459
-998.838694,2,1.346471
-1000.0,1,1.346992
-510.369634,8,1.350867
-727.114936,8,1.35475
-992.853572,3,1.356233
-900.0,2,1.357251
-671.201866,5,1.359701
-918.588739,3,1.36118
-795.583045,6,1.364137
-1000.0,1,1.364673
-900.0,2,1.365685
-989.356177,2,1.366696
-1000.0,1,1.367216
-839.036479,4,1.369188
-979.897806,2,1.370197
-660.197642,8,1.374091
-1000.0,1,1.374624
-898.083008,4,1.376575
-974.368622,4,1.378546
-900.0,2,1.379554
-771.218359,5,1.382015
-973.442038,3,1.383495
-828.832123,6,1.386401
-968.12165,3,1.387872
-853.801217,5,1.390304
-1000.0,1,1.390827
-700.0,4,1.392778
-1000.0,1,1.393305
-1000.0,1,1.393834
-1000.0,1,1.394355
-516.214288,10,1.399177
-1000.0,1,1.399704
-1000.0,1,1.40023
-969.344974,3,1.401729
-885.326262,3,1.403202
-921.557915,4,1.405166
-987.050535,2,1.406169
-795.679856,4,1.408134
-989.206845,2,1.409137
-880.285619,3,1.410636
-990.229017,2,1.411636
-978.872498,3,1.41313
-807.263403,5,1.415571
-955.442718,2,1.416574
-1000.0,1,1.417094
-978.149816,2,1.418098
-720.276968,4,1.420067
-830.5795,3,1.421558
-888.672902,4,1.423525
-887.437732,3,1.425003
-864.487304,3,1.426483
-768.412843,6,1.429389
-1000.0,1,1.429923
-1000.0,1,1.430444
-986.372719,2,1.431447
-990.076385,2,1.432442
-861.847073,4,1.434401
-900.0,2,1.435405
-1000.0,1,1.435927
-956.397164,4,1.437907
-998.021154,3,1.439397
-909.612267,3,1.440861
-873.653122,4,1.442826
-1000.0,1,1.44335
-945.208507,2,1.444347
-855.337766,4,1.446313
-865.427236,3,1.447799
-368.033409,11,1.45309
-333.3719,16,1.460702
-1000.0,1,1.461236
-774.335427,5,1.463708
-1000.0,1,1.46423
-900.0,2,1.46524
-781.89437,7,1.468614
-711.079304,5,1.471044
-900.0,2,1.472034
-1000.0,1,1.472551
-912.869197,3,1.474025
-1000.0,1,1.474549
-900.0,2,1.475546
-874.573986,4,1.477582
-773.310939,5,1.480007
-953.135763,2,1.481255
-938.578246,3,1.483027
-876.860028,3,1.48453
-954.842552,3,1.48603
-900.0,2,1.487025
-700.0,4,1.488976
-975.329089,2,1.489993
-900.0,2,1.491143
-1000.0,1,1.491676
-1000.0,1,1.492206
-797.317612,6,1.495139
-1000.0,1,1.495661
-1000.0,1,1.49618
-889.062361,4,1.498119
-1000.0,1,1.498636
-998.995169,2,1.499632
-827.416857,8,1.503502
-900.0,2,1.504499
-700.0,4,1.506476
-1000.0,1,1.506999
-937.426417,2,1.507996
-611.402668,6,1.510891
-1000.0,1,1.51141
-851.973262,3,1.512877
-675.575689,6,1.515868
-773.15104,5,1.518338
-825.928507,5,1.520769
-1000.0,1,1.521291
-849.994754,4,1.523251
-891.20564,4,1.525212
-957.942857,2,1.526214
-900.0,2,1.527215
-746.326869,4,1.529174
-971.775804,2,1.530204
-565.992863,9,1.534553
-574.042128,8,1.538391
-891.967578,4,1.540334
-874.836145,5,1.54274
-958.291325,3,1.547994
-665.759326,6,1.551054
-873.070269,4,1.553028
-912.824749,2,1.554036
-726.765467,8,1.557897
-750.626569,6,1.560827
-893.708304,4,1.562896
-996.270808,3,1.564379
-878.833482,3,1.565877
-989.715615,3,1.567345
-941.746853,2,1.568347
-838.358957,4,1.570292
-923.275602,2,1.571284
-697.917338,6,2.469299
-900.0,2,2.47033
-932.126818,2,2.471321
-800.0,3,2.472772
-977.079154,2,2.473763
-782.995905,5,2.476138
-948.45956,3,2.477579
-1000.0,1,2.478092
-867.28593,3,2.479522
-996.377997,2,2.480499
-760.928157,7,2.483822
-898.559093,3,2.485274
-800.0,3,2.486732
-200.835528,13,2.492821
-900.0,2,2.493809
-1000.0,1,2.494324
-767.660845,6,2.497179
-900.0,2,2.498175
-900.0,2,2.499166
-475.858009,10,2.503892
-841.044835,4,2.505837
-572.451365,8,2.509651
-940.309095,3,2.511116
-800.0,3,2.512584
-875.224564,3,2.514064
-701.894959,4,2.515998
-603.101835,8,2.519819
-890.115324,4,2.52177
-852.943653,3,2.523251
-951.226414,2,2.524255
-877.575837,3,2.525739
-867.789951,5,2.528159
-823.557576,5,2.530593
-900.0,2,2.531595
-951.229746,3,2.533061
-643.48107,8,2.536923
-1000.0,1,2.537457
-813.327122,6,2.540372
-986.201723,2,2.541377
-543.0364,11,2.546729
-929.24558,2,2.547737
-951.155608,3,2.54922
-806.364846,7,2.552616
-822.320618,4,2.55458
-996.570818,2,2.555582
-977.168682,2,2.556589
-955.881252,5,2.559048
-1000.0,1,2.55958
-900.0,2,2.560578
-861.284057,4,2.562602
-838.796567,5,2.565078
-855.022979,5,2.567536
-900.0,2,2.56854
-998.141201,3,2.570041
-981.689207,2,2.571051
-699.079935,5,2.573485
-1000.0,1,2.574021
-1000.0,1,2.574548
-919.583631,7,2.577958
-916.137242,4,2.579924
-862.136094,4,2.581901
-800.0,3,2.583391
-900.0,2,2.584394
-874.573813,4,2.586372
-1000.0,1,2.586898
-1000.0,1,2.587427
-1000.0,1,2.587952
-720.655985,5,2.590405
-981.00562,2,2.591421
-900.0,2,2.59243
-447.526787,8,2.596311
-749.46653,5,2.598777
-900.0,2,2.599786
-856.697315,5,2.60223
-546.512002,8,2.606105
-931.887243,3,2.607591
-700.0,4,2.609567
-951.904879,4,2.61154
-985.974394,4,2.613519
-1000.0,1,2.614056
-876.74864,3,2.61555
-900.0,2,2.616562
-998.840334,2,2.617586
-906.301369,4,2.61957
-462.947795,10,2.624438
-700.0,4,2.626423
-771.802001,7,2.629841
-900.0,2,2.63085
-927.551629,5,2.63331
-1000.0,1,2.633858
-775.652385,4,2.635835
-951.956019,2,2.636837
-926.7386,2,2.637852
-719.131189,4,2.639826
-845.15227,5,2.642288
-1000.0,1,2.642819
-1000.0,1,2.643342
-1000.0,1,2.643874
-705.578273,5,2.646353
-1000.0,1,2.646891
-1000.0,1,2.64742
-904.433726,4,2.649376
-860.071066,3,2.650882
-980.693378,2,2.651895
-887.414046,3,2.653371
-394.295223,9,2.657763
-800.0,3,2.659262
-959.758712,4,2.661237
-794.536018,4,2.663259
-900.0,2,2.664277
-1000.0,1,2.664806
-900.0,2,2.665822
-966.5152,4,2.667795
-892.949598,5,2.670267
-495.28632,7,2.673671
-1000.0,1,2.674201
-931.580657,3,2.675687
-884.749595,5,2.678145
-900.0,2,2.679158
-1000.0,1,2.679854
-864.989851,3,2.681834
-1000.0,1,2.682394
-468.517808,9,2.686818
-976.944808,2,2.687819
-960.676297,3,2.689307
-697.048401,6,2.692435
-996.535811,2,2.693465
-717.622849,5,2.695925
-1000.0,1,2.696454
-830.085105,6,2.699397
-800.0,3,2.700901
-977.924308,3,2.702412
-868.772798,7,2.705842
-843.427584,5,2.708307
-1000.0,1,2.708842
-898.959429,3,2.710336
-998.114773,3,2.711827
-1000.0,1,2.71236
-637.334344,9,2.716738
-917.154662,4,2.718725
-378.035033,10,2.723576
-1000.0,1,2.724102
-902.763566,3,2.725594
-900.0,2,2.726608
-967.894139,3,2.7281
-873.696295,4,2.730087
-900.0,2,2.7311
-330.539304,9,2.735506
-726.331124,6,2.738441
-963.065947,3,2.739944
-1000.0,1,2.740472
-975.218008,2,2.741487
-990.649829,2,2.74251
-840.40144,6,2.74546
-900.0,2,2.746491
-908.658552,3,2.747977
-871.662889,5,2.750438
-701.595936,6,2.75337
-685.437474,5,2.755851
-975.749013,3,2.757343
-998.019034,2,2.758354
-428.95825,10,2.76327
-900.0,2,2.764283
-716.949202,6,2.767227
-974.754646,3,2.768717
-940.951297,3,2.770226
-800.0,3,2.771721
-966.542229,5,2.774179
-1000.0,1,2.774714
-912.010845,3,2.776196
-900.75704,4,2.7782
-1000.0,1,2.778735
-905.787353,4,2.780715
-1000.0,1,2.781244
-766.192714,6,2.784203
-633.824451,7,2.787639
-1000.0,1,2.78817
-973.488159,2,2.789187
-697.861234,6,2.792134
-783.284027,4,2.794143
-900.0,2,2.795153
-916.772511,3,2.796638
-1000.0,1,2.797164
-916.956565,3,2.798658
-894.629031,4,2.800646
-911.466363,2,2.801658
-660.750687,6,2.804605
-819.752532,5,2.80706
-800.0,3,2.808556
-870.346992,6,2.811511
-986.868145,2,2.812527
-785.935838,6,2.815481
-767.517241,4,2.817456
-723.559963,7,2.820877
-1000.0,1,2.821407
-923.939994,2,2.82242
-991.718894,3,2.823918
-979.239605,2,2.824933
-834.743039,3,2.826441
-949.257186,3,2.827943
-1000.0,1,2.828471
-968.681419,3,2.829958
-840.809132,3,2.831441
-256.353125,10,2.836311
-1000.0,1,2.836851
-928.290898,2,2.837875
-900.0,2,2.838889
-672.250663,6,2.841834
-1000.0,1,2.842371
-633.428632,6,2.845321
-963.247555,3,2.846841
-966.892216,3,2.848333
-923.876118,2,2.849342
-728.363543,4,2.851344
-853.207878,5,2.853828
-863.326806,5,2.856272
-898.993635,3,2.857774
-1000.0,1,2.858305
-889.593622,5,2.860781
-898.186525,4,2.862765
-631.376192,10,2.867671
-707.469762,4,2.86966
-1000.0,1,2.870192
-1000.0,1,2.870716
-936.117637,2,2.871734
-978.602265,2,2.872746
-900.0,2,2.873772
-685.18575,8,2.877691
-984.547032,2,2.878697
-998.731315,2,2.879707
-764.755289,4,2.881701
-962.690044,2,2.88272
-1000.0,1,2.883245
-1000.0,1,2.883771
-862.360515,3,2.88526
-758.046815,4,2.887273
-969.555653,3,2.888776
-1000.0,1,2.8893
-1000.0,1,2.88984
-1000.0,1,2.890367
-715.038457,9,2.894758
-800.0,3,2.896248
-941.80801,3,2.897757
-578.064578,8,2.901678
-896.098705,4,2.903666
-1000.0,1,2.904199
-812.968003,5,2.906673
-795.616564,4,2.908646
-700.0,4,2.910622
-601.406205,8,2.914554
-1000.0,1,2.915097
-933.619025,4,2.917077
-959.34332,3,2.918571
-900.0,2,2.919589
-516.994451,7,2.923026
-887.101931,4,2.924998
-1000.0,1,2.925527
-800.0,3,2.927039
-900.0,2,2.92806
-872.782791,5,2.930529
-133.945958,13,2.93682
-829.506867,5,2.944753
-969.74831,4,2.946833
-1000.0,1,2.947374
-1000.0,1,2.94791
-900.0,2,2.948933
-904.148971,3,2.950452
-892.388561,4,2.952486
-540.974745,7,2.955954
-800.0,3,2.957464
-752.335441,7,2.960905
-905.874846,2,2.961937
-821.482416,5,2.964463
-900.0,2,2.965481
-983.921326,2,2.966531
-900.0,2,2.972354
-998.876874,2,2.973546
-896.13708,3,2.975129
-851.19186,3,2.976665
-1000.0,1,2.977193
-906.037141,2,2.978226
-751.985653,4,2.980219
-547.367507,6,2.983859
-700.0,4,2.985887
-1000.0,1,2.986425
-944.739191,2,2.987457
